NCBI_GeneID	NCBI_UnigeneID	NCBI_RefSeqID	Affymetrix_probesetID	organism
118	Hs.183706	NM_176801	214726_x_at	human
118	Hs.183706	NM_176801	214736_s_at	human
119	Hs.188528	NM_001617	205268_s_at	human
119	Hs.188528	NM_017482	206807_s_at	human
119	Hs.188528	NM_017483		human
119	Hs.188528	NM_017484		human
119	Hs.188528	NM_017488		human
120	Hs.501012	NM_001121	201034_at	human
120	Hs.501012	NM_001121	201752_s_at	human
120	Hs.501012	NM_001121	201753_s_at	human
120	Hs.501012	NM_001121	205882_x_at	human
120	Hs.501012	NM_016824	201752_s_at	human
120	Hs.501012	NM_016824	201753_s_at	human
120	Hs.501012	NM_016824	205882_x_at	human
120	Hs.501012	NM_019903	201034_at	human
120	Hs.501012	NM_019903	201752_s_at	human
120	Hs.501012	NM_019903	201753_s_at	human
120	Hs.501012	NM_019903	205882_x_at	human
123	Hs.3416	NM_001122593		human
124		NM_000667	207820_at	human
125	Hs.400007	NM_000668	209612_s_at	human
125	Hs.400007	NM_000668	209613_s_at	human
125	Hs.400007	NM_000668	209614_at	human
126		NM_000669	206262_at	human
127	Hs.121915	NM_000670		human
128	Hs.78989	NM_000671	208847_s_at	human
128	Hs.78989	NM_000671	208848_at	human
130	Hs.586161	NM_000672	207544_s_at	human
130	Hs.586161	NM_001102470	207544_s_at	human
130	Hs.586161	NM_001102470	214261_s_at	human
131	Hs.389027	NM_000673	210505_at	human
131	Hs.389027	NM_001166504	210505_at	human
132		NM_001123000		human
132		NM_006721	204119_s_at	human
132		NM_006721	204120_s_at	human
133	Hs.441047	NM_001124000		human
134	Hs.77867	NM_000674	205481_at	human
134	Hs.77867	NM_000674	216220_s_at	human
134	Hs.77867	NM_001048230	205481_at	human
134	Hs.77867	NM_001048230	216220_s_at	human
135	Hs.197029	NM_000675	205013_s_at	human
136	Hs.167046	NM_000676	205891_at	human
140	Hs.281342	NM_000677	206171_at	human
140	Hs.281342	NM_001081976		human
140	Hs.281342	NM_020683		human
141	Hs.99884	NM_001125000		human
142	Hs.177766	NM_001618	208644_at	human
143		NM_006437	202239_at	human
146	Hs.557097	NM_000678	210960_at	human
146	Hs.557097	NM_000678	210961_s_at	human
147	Hs.368632	NM_000679	207589_at	human
148		NM_000680	211492_s_at	human
148		NM_033302	211489_at	human
148		NM_033302	211492_s_at	human
148		NM_033303	211491_at	human
148		NM_033303	211492_s_at	human
148		NM_033304	211490_at	human
148		NM_033304	211492_s_at	human
150	Hs.249159	NM_000681	209869_at	human
151	Hs.247686	NM_000682	208544_at	human
152	Hs.123022	NM_000683	206128_at	human
153	Hs.99913	NM_000684	208214_at	human
154		NM_000024	206170_at	human
155	Hs.2549	NM_000025	206812_at	human
155	Hs.2549	NM_000025	217303_s_at	human
156	Hs.83636	NM_001619	201401_s_at	human
156	Hs.83636	NM_001619	201402_at	human
156	Hs.83636	NM_001619	38447_at	human
157		NM_005160	204183_s_at	human
158	Hs.75527	NM_000026	202144_s_at	human
158	Hs.75527	NM_000026	210250_x_at	human
158	Hs.75527	NM_001123378	210250_x_at	human
159	Hs.498313	NM_001126000		human
160	Hs.467125	NM_014203		human
160	Hs.467125	NM_130787		human
161	Hs.191213	NM_012305	211779_x_at	human
161	Hs.191213	NM_012305	212159_x_at	human
161	Hs.191213	NM_012305	212161_at	human
161	Hs.191213	NM_012305	215764_x_at	human
162	Hs.368794	NM_001127000		human
162	Hs.368794	NM_001166019	205423_at	human
162	Hs.368794	NM_145730	205423_at	human
163	Hs.514819	NM_001030006	200612_s_at	human
163	Hs.514819	NM_001030006	200615_s_at	human
163	Hs.514819	NM_001282	200612_s_at	human
163	Hs.514819	NM_001282	200615_s_at	human
164	Hs.461253	NM_001030007	203350_at	human
164	Hs.461253	NM_001128000		human
165	Hs.439463	NM_001129000		human
166	Hs.515053	NM_198969	217729_s_at	human
166	Hs.515053	NM_198970	217729_s_at	human
167	Hs.109620	NM_001131000		human
167	Hs.109620	NM_170609	207032_s_at	human
167	Hs.109620	NM_170609	216314_at	human
172	Hs.534773	NR_003226		human
172	Hs.534773	NR_003227		human
172	Hs.534773	NR_003228		human
173	Hs.168718	NM_001133000		human
174	Hs.518808	NM_001134000		human
175	Hs.207776	NM_000027	204332_s_at	human
175	Hs.207776	NM_000027	204333_s_at	human
175	Hs.207776	NM_000027	216064_s_at	human
176	Hs.21590	NM_001135000	209209_s_at	human
176	Hs.21590	NM_001135000	214212_x_at	human
176	Hs.21590	NM_013227	205679_x_at	human
176	Hs.21590	NM_013227	207692_s_at	human
176	Hs.21590	NM_013227	217161_x_at	human
176	Hs.616395	NM_001135000	209209_s_at	human
176	Hs.616395	NM_001135000	214212_x_at	human
176	Hs.616395	NM_013227	205679_x_at	human
176	Hs.616395	NM_013227	207692_s_at	human
176	Hs.616395	NM_013227	217161_x_at	human
177	Hs.534342	NM_172197	217046_s_at	human
178	Hs.90436	NM_000028	203566_s_at	human
178	Hs.90436	NM_000642	203566_s_at	human
178	Hs.90436	NM_000643	203566_s_at	human
178	Hs.90436	NM_000644	203566_s_at	human
178	Hs.90436	NM_000645	203566_s_at	human
178	Hs.90436	NM_000646	203566_s_at	human
181	Hs.104633	NM_001138000		human
181	Hs.104633	NM_007316		human
182	Hs.224012	NM_000214	209097_s_at	human
182	Hs.224012	NM_000214	209098_s_at	human
182	Hs.224012	NM_000214	209099_x_at	human
182	Hs.224012	NM_000214	216268_s_at	human
183	Hs.193832	NM_000029	202834_at	human
185	Hs.477887	NM_000685	205357_s_at	human
185	Hs.477887	NM_000685	208016_s_at	human
185	Hs.477887	NM_004835	205357_s_at	human
185	Hs.477887	NM_004835	208016_s_at	human
185	Hs.477887	NM_009585	205357_s_at	human
185	Hs.477887	NM_009585	208016_s_at	human
185	Hs.477887	NM_031850	205357_s_at	human
185	Hs.477887	NM_031850	208016_s_at	human
185	Hs.477887	NM_032049	205357_s_at	human
185	Hs.477887	NM_032049	208016_s_at	human
185		NM_000685	205357_s_at	human
185		NM_000685	208016_s_at	human
185		NM_004835	205357_s_at	human
185		NM_004835	208016_s_at	human
185		NM_009585	205357_s_at	human
185		NM_009585	208016_s_at	human
185		NM_031850	205357_s_at	human
185		NM_031850	208016_s_at	human
185		NM_032049	205357_s_at	human
185		NM_032049	208016_s_at	human
186	Hs.405348	NM_000686	207293_s_at	human
186	Hs.405348	NM_000686	207294_at	human
186	Hs.405348	NM_000686	222321_at	human
187	Hs.438311	NM_005161	213592_at	human
187	Hs.438311	NR_027991		human
189	Hs.144567	NM_000030	210326_at	human
189	Hs.144567	NM_000030	210327_s_at	human
190	Hs.268490	NM_000475	206644_at	human
190	Hs.268490	NM_000475	206645_s_at	human
191	Hs.388004	NM_000687	200903_s_at	human
191	Hs.388004	NM_001161766	200903_s_at	human
196	Hs.171189	NM_001621	202820_at	human
197	Hs.324746	NM_001622	204551_s_at	human
197	Hs.324746	NM_001622	210929_s_at	human
199	Hs.76364	NM_001623	209901_x_at	human
199	Hs.76364	NM_001623	213095_x_at	human
199	Hs.76364	NM_001623	215051_x_at	human
199	Hs.76364	NM_004847		human
199	Hs.76364	NM_032955	209901_x_at	human
199	Hs.76364	NM_032955	213095_x_at	human
199	Hs.76364	NM_032955	215051_x_at	human
202	Hs.643590	NM_001624	212543_at	human
202		NM_001624	212543_at	human
203	Hs.175473	NM_000476	202587_s_at	human
203	Hs.175473	NM_000476	202588_at	human
204	Hs.470907	NM_001625	208967_s_at	human
204	Hs.470907	NM_013411	205996_s_at	human
204	Hs.470907	NM_013411	208967_s_at	human
204	Hs.470907	NM_013411	212172_at	human
204	Hs.470907	NM_013411	212173_at	human
204	Hs.470907	NM_013411	212174_at	human
204	Hs.470907	NM_013411	212175_s_at	human
205	Hs.10862	NM_001005353	204347_at	human
205	Hs.10862	NM_001005353	204348_s_at	human
205	Hs.10862	NM_013410	204347_at	human
205	Hs.10862	NM_013410	204348_s_at	human
205	Hs.10862	NM_203464	204347_at	human
205	Hs.10862	NM_203464	204348_s_at	human
205	Hs.592601	NM_001005353	204347_at	human
205	Hs.592601	NM_001005353	204348_s_at	human
205	Hs.592601	NM_013410	204347_at	human
205	Hs.592601	NM_013410	204348_s_at	human
205	Hs.592601	NM_203464	204347_at	human
205	Hs.592601	NM_203464	204348_s_at	human
207	Hs.525622	NM_001014431	207163_s_at	human
207	Hs.525622	NM_001014432	207163_s_at	human
207	Hs.525622	NM_005163	207163_s_at	human
208	Hs.631535	NM_001626	203809_s_at	human
208	Hs.631535	NM_001626	211453_s_at	human
210	Hs.122718	NM_000031	218487_at	human
210	Hs.122718	NM_000031	218489_s_at	human
211	Hs.476308	NM_000688	205633_s_at	human
211	Hs.476308	NM_199166	205633_s_at	human
212	Hs.522666	NM_000032	211560_s_at	human
212	Hs.522666	NM_001037967	211560_s_at	human
212	Hs.522666	NM_001037968	211560_s_at	human
212	Hs.555936	NM_000032	211560_s_at	human
212	Hs.555936	NM_001037967	211560_s_at	human
212	Hs.555936	NM_001037968	211560_s_at	human
213	Hs.418167	NM_000477	211298_s_at	human
214	Hs.591293	NM_001627	201951_at	human
214	Hs.591293	NM_001627	201952_at	human
215	Hs.159546	NM_000033	205142_x_at	human
216	Hs.76392	NM_000689	212224_at	human
217	Hs.632733	NM_000690	201425_at	human
218	Hs.531682	NM_000691	205623_at	human
218	Hs.531682	NM_001135167	205623_at	human
218	Hs.531682	NM_001135168	205623_at	human
219	Hs.436219	NM_000692	209645_s_at	human
219	Hs.436219	NM_000692	209646_x_at	human
220	Hs.459538	NM_000693	203180_at	human
221	Hs.523841	NM_000694	205640_at	human
221	Hs.523841	NM_000694	211004_s_at	human
221	Hs.523841	NM_001030010	205640_at	human
221	Hs.523841	NM_001030010	211004_s_at	human
221	Hs.523841	NM_001161473	205640_at	human
221	Hs.523841	NM_001161473	211004_s_at	human
222	Hs.87539	NM_000695	204941_s_at	human
222	Hs.87539	NM_000695	204942_s_at	human
222	Hs.87539	NM_001031615	204941_s_at	human
222	Hs.87539	NM_001031615	204942_s_at	human
223	Hs.253305	NM_000696	201612_at	human
224	Hs.499886	NM_000382	202053_s_at	human
224	Hs.499886	NM_000382	202054_s_at	human
224	Hs.499886	NM_000382	210544_s_at	human
224	Hs.499886	NM_001031806	202053_s_at	human
224	Hs.499886	NM_001031806	202054_s_at	human
224	Hs.499886	NM_001031806	210544_s_at	human
225	Hs.117852	NM_005164	207583_at	human
226	Hs.513490	NM_000034	200966_x_at	human
226	Hs.513490	NM_000034	214687_x_at	human
226	Hs.513490	NM_001127617	200966_x_at	human
226	Hs.513490	NM_001127617	214687_x_at	human
226	Hs.513490	NM_184041	200966_x_at	human
226	Hs.513490	NM_184041	214687_x_at	human
226	Hs.513490	NM_184043	200966_x_at	human
226	Hs.513490	NM_184043	214687_x_at	human
229	Hs.530274	NM_000035	204704_s_at	human
229	Hs.530274	NM_000035	204705_x_at	human
229	Hs.530274	NM_000035	211357_s_at	human
229	Hs.530274	NM_000035	217238_s_at	human
230	Hs.155247	NM_005165	202022_at	human
231	Hs.521212	NM_001628	201272_at	human
238		NM_004304	208211_s_at	human
238		NM_004304	208212_s_at	human
239		NM_000697	207206_s_at	human
240	Hs.89499	NM_000698	204445_s_at	human
240	Hs.89499	NM_000698	204446_s_at	human
240	Hs.89499	NM_000698	214366_s_at	human
241	Hs.507658	NM_001629	204174_at	human
242	Hs.136574	NM_001139000		human
244		NM_001630	203074_at	human
245	Hs.378695	NR_002710		human
246	Hs.73809	NM_001140000		human
247	Hs.111256	NM_001039130	206714_at	human
247	Hs.111256	NM_001039131	206714_at	human
247	Hs.111256	NM_001141000		human
248	Hs.37009	NM_001631	207140_at	human
248	Hs.37009	NM_001631	211618_s_at	human
249	Hs.75431	NM_000478	215783_s_at	human
249	Hs.75431	NM_001127501	215783_s_at	human
250	Hs.284255	NM_001632	204664_at	human
250	Hs.284255	NM_001632	211619_s_at	human
250	Hs.284255	NM_001632	216377_x_at	human
251	Hs.333509	NM_031313	210431_at	human
251	Hs.333509	NM_031313	211619_s_at	human
251	Hs.333509	NM_031313	216377_x_at	human
257		NM_006492	207690_at	human
258	Hs.272396	NM_016519	221114_at	human
259	Hs.436911	NM_001633	205477_s_at	human
262	Hs.159118	NM_001033059	201196_s_at	human
262	Hs.159118	NM_001033059	201197_at	human
262	Hs.159118	NM_001634	201196_s_at	human
262	Hs.159118	NM_001634	201197_at	human
265		NM_001142000		human
265		NM_182680	208410_x_at	human
265		NM_182681	208410_x_at	human
266	Hs.1238	NM_001143000		human
267	Hs.295137	NM_001144000	221850_x_at	human
267	Hs.295137	NM_001144000	221971_x_at	human
268	Hs.112432	NM_000479	206516_at	human
269		NM_001164690	206892_at	human
269		NM_001164691		human
269		NM_020547	206892_at	human
270	Hs.89570	NM_000036	206121_at	human
271	Hs.82927	NM_004037	212360_at	human
271	Hs.82927	NM_139156	212360_at	human
271	Hs.82927	NM_203404	212360_at	human
272	Hs.501890	NM_000480	207992_s_at	human
272	Hs.501890	NM_000480	209491_s_at	human
272	Hs.501890	NM_001025389	207992_s_at	human
272	Hs.501890	NM_001025389	209491_s_at	human
272	Hs.501890	NM_001025390	209491_s_at	human
273	Hs.592182	NM_001635	205257_s_at	human
273	Hs.592182	NM_139316	205257_s_at	human
274	Hs.193163	NM_004305	202931_x_at	human
274	Hs.193163	NM_004305	210201_x_at	human
274	Hs.193163	NM_004305	210202_s_at	human
274	Hs.193163	NM_004305	214439_x_at	human
274	Hs.193163	NM_004305	214643_x_at	human
274	Hs.193163	NM_139343	202931_x_at	human
274	Hs.193163	NM_139343	210201_x_at	human
274	Hs.193163	NM_139343	210202_s_at	human
274	Hs.193163	NM_139343	214439_x_at	human
274	Hs.193163	NM_139343	214643_x_at	human
274	Hs.193163	NM_139344	202931_x_at	human
274	Hs.193163	NM_139344	210201_x_at	human
274	Hs.193163	NM_139344	210202_s_at	human
274	Hs.193163	NM_139344	214439_x_at	human
274	Hs.193163	NM_139344	214643_x_at	human
274	Hs.193163	NM_139345	202931_x_at	human
274	Hs.193163	NM_139345	210201_x_at	human
274	Hs.193163	NM_139345	210202_s_at	human
274	Hs.193163	NM_139345	214439_x_at	human
274	Hs.193163	NM_139345	214643_x_at	human
274	Hs.193163	NM_139346	202931_x_at	human
274	Hs.193163	NM_139346	210201_x_at	human
274	Hs.193163	NM_139346	210202_s_at	human
274	Hs.193163	NM_139346	214439_x_at	human
274	Hs.193163	NM_139346	214643_x_at	human
274	Hs.193163	NM_139347	202931_x_at	human
274	Hs.193163	NM_139347	210201_x_at	human
274	Hs.193163	NM_139347	210202_s_at	human
274	Hs.193163	NM_139347	214439_x_at	human
274	Hs.193163	NM_139347	214643_x_at	human
274	Hs.193163	NM_139348	202931_x_at	human
274	Hs.193163	NM_139348	210201_x_at	human
274	Hs.193163	NM_139348	210202_s_at	human
274	Hs.193163	NM_139348	214439_x_at	human
274	Hs.193163	NM_139348	214643_x_at	human
274	Hs.193163	NM_139349	202931_x_at	human
